Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,35,109268,109268,109-117 Swanston Street MELBOURNE 3000,Melbourne (CBD),Delicious Delights,"Shop 12, 115 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,53,144.96578060154445,-37.8150701806,"-37.8150701806, 144.96578060154445"
2008,35,109268,109268,109-117 Swanston Street MELBOURNE 3000,Melbourne (CBD),Delicious Delights,"Shop 12, 115 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,18,144.96578060154445,-37.8150701806,"-37.8150701806, 144.96578060154445"
2008,35,109270,109270,123 Swanston Street MELBOURNE 3000,Melbourne (CBD),Crossways Food For Life,123 Swanston Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.96588625575583,-37.8148292952,"-37.8148292952, 144.96588625575583"
2008,36,102148,102148,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),Bistrot D'Orsay,184 Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.967276626,-37.81485204543456,"-37.81485204543456, 144.967276626"
2008,36,102148,102148,184-192 Collins Street MELBOURNE 3000,Melbourne (CBD),Bistrot D'Orsay,184 Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,65,144.967276626,-37.81485204543456,"-37.81485204543456, 144.967276626"
2008,36,102152,102152,162-168 Collins Street MELBOURNE 3000,Melbourne (CBD),Basso,"Shop 11, Basement , 195 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,120,144.96784765055,-37.814502920078574,"-37.814502920078574, 144.96784765055"
2008,36,105917,105917,209-221 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Victoria Hotel,215 Little Collins Street MELBOURNE 3000,4400,Accommodation,Seats - Indoor,120,144.96708078579476,-37.8144650211,"-37.8144650211, 144.96708078579476"
2008,37,100398,100398,7-19 Alfred Place MELBOURNE 3000,Melbourne (CBD),Comme,"Gnd & Flr1 , 7-19 Alfred Place MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,24,144.96991042320002,-37.81401281890811,"-37.81401281890811, 144.96991042320002"
2008,37,102155,102155,106-120 Collins Street MELBOURNE 3000,Melbourne (CBD),Lotto off Collins,"Shop , 120 Collins Street MELBOURNE 3000",4244,Newspaper and Book Retailing,Seats - Indoor,18,144.96931569000904,-37.814000348899995,"-37.814000348899995, 144.96931569000904"
2008,37,102155,102155,106-120 Collins Street MELBOURNE 3000,Melbourne (CBD),Lotto off Collins,"Shop , 120 Collins Street MELBOURNE 3000",4244,Newspaper and Book Retailing,Seats - Outdoor,19,144.96931569000904,-37.814000348899995,"-37.814000348899995, 144.96931569000904"
