lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
3,0,3.044522437723423,0,0,57,128,0,0,1,0,0,0,0,0,0,0,0,0,3
5,1,3.6109179126442243,0,0,103,45,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,2.5649493574615367,0,0,44,104,0,0,1,0,0,0,0,0,0,0,0,0,5
5,0,3.044522437723423,0,0,44,104,0,0,1,0,0,0,0,0,0,0,0,0,5
5,0,3.1354942159291497,0,0,44,104,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,3.4965075614664802,0,0,44,104,0,0,1,0,0,0,0,0,0,0,0,0,5
20,1,4.31748811353631,0,1,61,13,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.174387269895637,0,1,45,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,2.772588722239781,0,0,78,15,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,5.030437921392435,0,1,140,46,0,0,1,0,0,0,0,0,0,0,0,0,2
5,1,4.663439094112067,0,1,128,41,0,0,1,0,0,0,0,0,0,0,0,0,2
2,1,5.030437921392435,0,1,128,41,0,0,1,0,0,0,0,0,0,0,0,0,2
6,1,4.2626798770413155,0,0,34,6,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,4.1588830833596715,0,0,71,21,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,4.23410650459726,0,1,48,14,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,4.3694478524670215,0,1,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.31748811353631,0,1,103,34,0,0,1,0,0,0,0,0,0,0,0,0,0
11,1,3.8066624897703196,0,1,29,4,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,3.6109179126442243,0,0,79,27,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,4.709530201312334,0,0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0
13,1,3.9512437185814275,0,1,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,3.6109179126442243,0,0,43,14,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,3.8066624897703196,0,1,62,17,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2.1972245773362196,0,0,2,25,0,0,1,0,0,0,0,0,0,0,0,0,0
17,0,2.1972245773362196,0,0,5,30,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,3.9318256327243257,0,0,102,30,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,4.060443010546419,0,1,80,23,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,3.8501476017100584,0,1,28,5,0,0,1,0,0,0,0,0,0,0,0,0,1
20,1,3.58351893845611,0,1,28,5,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,4.02535169073515,0,1,94,27,0,0,1,0,0,0,0,0,0,0,0,0,1
7,0,2.833213344056216,0,0,10,39,0,0,1,0,0,0,0,0,0,0,0,0,1
7,1,4.04305126783455,0,1,77,20,0,0,1,0,0,0,0,0,0,0,0,0,4
5,0,5.236441962829949,0,1,19,78,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,2.772588722239781,0,0,77,20,0,0,1,0,0,0,0,0,0,0,0,0,4
7,1,5.303304908059076,0,1,53,13,0,0,1,0,0,0,0,0,0,0,0,0,2
2,1,4.110873864173311,0,0,53,13,0,0,1,0,0,0,0,0,0,0,0,0,2
4,0,2.3978952727983707,0,0,33,127,0,0,1,0,0,0,0,0,0,0,0,0,4
4,1,5.153291594497779,0,1,109,28,0,0,1,0,0,0,0,0,0,0,0,0,5
16,1,4.060443010546419,0,1,53,13,0,0,1,0,0,0,0,0,0,0,0,0,2
4,1,5.236441962829949,0,1,109,28,0,0,1,0,0,0,0,0,0,0,0,0,5
6,1,4.61512051684126,0,0,88,22,0,0,1,0,0,0,0,0,0,0,0,0,5
4,1,2.772588722239781,0,0,88,22,0,0,1,0,0,0,0,0,0,0,0,0,5
6,1,3.9318256327243257,0,0,40,8,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,4.356708826689592,0,1,90,20,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,3.9318256327243257,0,0,32,5,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,4.406719247264253,0,1,31,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.584967478670572,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,3.9318256327243257,0,0,75,13,0,0,1,0,0,0,0,0,0,0,0,0,4
4,1,3.6109179126442243,0,1,36,4,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,4.787491742782046,0,1,75,13,0,0,1,0,0,0,0,0,0,0,0,0,4
2,1,3.4339872044851463,0,1,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,3.1354942159291497,0,0,75,13,0,0,1,0,0,0,0,0,0,0,0,0,4
8,1,4.394449154672439,0,0,84,15,0,0,1,0,0,0,0,0,0,0,0,0,6
12,1,5.638354669333745,0,1,75,13,0,0,1,0,0,0,0,0,0,0,0,0,4
9,1,4.394449154672439,1,0,84,15,0,0,1,0,0,0,0,0,0,0,0,0,6
6,1,3.4339872044851463,0,0,84,15,0,0,1,0,0,0,0,0,0,0,0,0,6
7,1,4.110873864173311,0,0,99,19,0,0,1,0,0,0,0,0,0,0,0,0,7
2,1,4.110873864173311,0,1,134,30,0,0,1,0,0,0,0,0,0,0,0,0,7
11,1,4.110873864173311,0,0,75,13,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,5.0106352940962555,0,1,150,38,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1,4.948759890378168,0,1,34,5,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,3.6635616461296463,0,1,38,5,0,0,1,0,0,0,0,0,0,0,0,0,0
13,1,3.58351893845611,0,1,61,14,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1,3.8066624897703196,0,1,62,14,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,3.784189633918261,0,1,39,4,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1,3.828641396489095,0,0,47,5,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,2.1972245773362196,1,0,29,125,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,4.189654742026425,0,1,56,10,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,4.07753744390572,0,1,85,21,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,4.07753744390572,0,1,139,44,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,3.7376696182833684,0,1,140,51,0,0,1,0,0,0,0,0,0,0,0,0,3
8,0,2.1972245773362196,0,1,56,164,0,0,1,0,0,0,0,0,0,0,0,0,4
9,1,2.833213344056216,0,1,115,41,0,0,1,0,0,0,0,0,0,0,0,0,3
13,0,2.9444389791664403,0,1,40,116,0,0,1,0,0,0,0,0,0,0,0,0,3
2,1,3.4011973816621555,0,1,184,67,0,0,1,0,0,0,0,0,0,0,0,0,4
2,1,3.713572066704308,0,1,89,25,0,0,1,0,0,0,0,0,0,0,0,0,2
4,1,3.9512437185814275,0,1,89,25,0,0,1,0,0,0,0,0,0,0,0,0,2
2,0,2.4849066497880004,0,0,86,249,0,0,1,0,0,0,0,0,0,0,0,0,2
22,1,4.110873864173311,0,0,60,13,0,0,1,0,0,0,0,0,0,0,0,0,2
4,1,3.4339872044851463,0,1,210,72,0,0,1,0,0,0,0,0,0,0,0,0,4
4,1,3.5553480614894135,0,1,210,72,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,3.6109179126442243,0,1,60,13,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0,1.9459101490553132,1,0,12,61,0,0,1,0,0,0,0,0,0,0,0,0,2
2,1,4.61512051684126,0,0,55,13,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,3.713572066704308,0,0,163,64,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4.61512051684126,0,0,69,22,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,2.833213344056216,0,0,35,96,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,3.044522437723423,1,0,112,44,0,0,1,0,0,0,0,0,0,0,0,0,5
20,1,3.044522437723423,0,0,65,19,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,4.394449154672439,0,1,159,64,0,0,1,0,0,0,0,0,0,0,0,0,3
